# theta (deg),785 nm,790 nm,795 nm,800 nm,805 nm,810 nm,815 nm,820 nm,825 nm,830 nm,835 nm,840 nm,845 nm,850 nm
0.000000000000000000e+00,4.693179999999999813e-04,3.879539999999999790e-04,3.491669999999999995e-04,3.319260000000000201e-04,3.186609999999999768e-04,2.314200000000000035e-04,9.893270000000000232e-05,5.248029999999999964e-05,7.119559999999999984e-05,1.379940000000000073e-04,3.325229999999999874e-04,6.626870000000000200e-04,1.014240000000000020e-03,1.281650000000000063e-03
1.000000000000000000e+00,1.480689999999999958e-02,1.297249999999999966e-02,1.207970000000000051e-02,1.164849999999999913e-02,1.124190000000000085e-02,8.659129999999999258e-03,4.658390000000000100e-03,3.361149999999999815e-03,4.270839999999999706e-03,6.284729999999999657e-03,1.074080000000000000e-02,1.702299999999999994e-02,2.268080000000000096e-02,2.632270000000000096e-02
2.000000000000000000e+00,5.956790000000000002e-02,5.373590000000000311e-02,5.088150000000000311e-02,4.949989999999999946e-02,4.803360000000000268e-02,3.847099999999999825e-02,2.353709999999999830e-02,1.893459999999999935e-02,2.298350000000000046e-02,3.045049999999999840e-02,4.493289999999999784e-02,6.372980000000000311e-02,7.935509999999999786e-02,8.854560000000000208e-02
3.000000000000000000e+00,1.228339999999999987e-01,1.127250000000000058e-01,1.077759999999999968e-01,1.054380000000000039e-01,1.027190000000000047e-01,8.446430000000000604e-02,5.583819999999999756e-02,4.725970000000000171e-02,5.568920000000000120e-02,6.987720000000000042e-02,9.537220000000000419e-02,1.269560000000000133e-01,1.519979999999999942e-01,1.659009999999999929e-01
4.000000000000000000e+00,1.900479999999999947e-01,1.763990000000000002e-01,1.697339999999999960e-01,1.666880000000000028e-01,1.628650000000000098e-01,1.364799999999999902e-01,9.497680000000000011e-02,8.272400000000000586e-02,9.551300000000000068e-02,1.159120000000000011e-01,1.507759999999999934e-01,1.926589999999999969e-01,2.248100000000000098e-01,2.419370000000000132e-01
5.000000000000000000e+00,2.538190000000000168e-01,2.375269999999999881e-01,2.296009999999999995e-01,2.261060000000000014e-01,2.214220000000000077e-01,1.882290000000000074e-01,1.358789999999999998e-01,1.205409999999999954e-01,1.371249999999999969e-01,1.626710000000000100e-01,2.047940000000000038e-01,2.542829999999999813e-01,2.913529999999999731e-01,3.104830000000000090e-01
6.000000000000000000e+00,3.115180000000000171e-01,2.933509999999999729e-01,2.845509999999999984e-01,2.808100000000000041e-01,2.754909999999999859e-01,2.368599999999999872e-01,1.757769999999999888e-01,1.579430000000000001e-01,1.776449999999999974e-01,2.072710000000000108e-01,2.548210000000000197e-01,3.097190000000000221e-01,3.500349999999999850e-01,3.703139999999999765e-01
7.000000000000000000e+00,3.627099999999999769e-01,3.432620000000000116e-01,3.338860000000000161e-01,3.300390000000000268e-01,3.242680000000000007e-01,2.813800000000000190e-01,2.134030000000000094e-01,1.935759999999999981e-01,2.157749999999999946e-01,2.485739999999999894e-01,3.001139999999999919e-01,3.587819999999999898e-01,4.011540000000000106e-01,4.220099999999999962e-01
8.000000000000000000e+00,4.078169999999999851e-01,3.875319999999999876e-01,3.777969999999999939e-01,3.739390000000000214e-01,3.678560000000000163e-01,3.216709999999999847e-01,2.482989999999999919e-01,2.268890000000000073e-01,2.510600000000000054e-01,2.863060000000000049e-01,3.407529999999999726e-01,4.019940000000000180e-01,4.455859999999999821e-01,4.666480000000000072e-01
9.000000000000000000e+00,4.475359999999999894e-01,4.267369999999999775e-01,4.168020000000000058e-01,4.129929999999999990e-01,4.067029999999999812e-01,3.579820000000000224e-01,2.804070000000000173e-01,2.577389999999999959e-01,2.834570000000000145e-01,3.205799999999999761e-01,3.771249999999999880e-01,4.400729999999999920e-01,4.843040000000000123e-01,5.053290000000000282e-01
