# SysLoss,dt,SKL,QBERx,phiX,nX,nZ,lambdaEC,sX0,sX1,vZ1,sZ1,mean photon no.,QBERI,Pec,Pap,NoPass,Rrate,eps_c,eps_s,Px,P1,P2,P3,mu1,mu2,mu3,xi (deg),minElev (deg),maxElev (deg),shiftElev (deg)
2.698970004336018746e+01,2.200000000000000000e+02,4.861312286355806887e+07,1.519784735544708627e-03,2.875109031659670369e-03,1.226674574047095925e+08,1.208587836579745449e+07,2.036328736217055004e+06,1.769974333690033973e+03,5.212914024042710662e+07,1.351023541783561086e+04,5.075759983070927672e+06,6.240096400000000321e-01,1.000000000000000021e-03,1.000000000000000021e-08,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
2.898970004336018746e+01,2.200000000000000000e+02,3.052598274639571458e+07,1.531934528990296649e-03,3.197376216709315027e-03,7.741311708258435130e+07,7.627169721881191246e+06,1.297570605113827391e+06,1.769974333690033973e+03,3.284374902559352666e+07,9.289870780837882194e+03,3.187672255205034278e+06,6.240096400000000321e-01,1.000000000000000021e-03,1.000000000000000021e-08,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
3.098970004336018746e+01,2.200000000000000000e+02,1.913519370573491231e+07,1.551189440989737692e-03,3.657770007825565575e-03,4.885155688099491596e+07,4.813126373815851286e+06,8.305824128281858284e+05,1.769974333690033973e+03,2.068570508306807652e+07,6.552184755289177701e+03,1.999339021267759148e+06,6.240096400000000321e-01,1.000000000000000021e-03,1.000000000000000021e-08,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
3.298970004336018746e+01,2.200000000000000000e+02,1.196465310459742695e+07,1.581703373162297562e-03,4.328778144977744359e-03,3.082724417615100741e+07,3.037271101466513705e+06,5.352784840104412287e+05,1.769974333690033973e+03,1.302217495872196741e+07,4.767636191185513781e+03,1.251866775887118885e+06,6.240096400000000321e-01,1.000000000000000021e-03,1.000000000000000021e-08,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
3.498970004336018746e+01,2.200000000000000000e+02,7.494337360268214718e+06,1.630057044614142102e-03,4.672515822089311904e-03,1.945340287844456360e+07,1.916657163717395393e+06,3.484615570198210189e+05,1.769974333690033973e+03,8.192736874638997950e+06,3.124260511827701066e+03,7.820650645781948697e+05,6.240096400000000321e-01,1.000000000000000021e-03,1.000000000000000021e-08,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
3.698970004336018746e+01,2.200000000000000000e+02,4.682660649156201631e+06,1.706673234388894709e-03,5.126668123611041565e-03,1.227648899146553874e+07,1.209547795715601882e+06,2.301883668377849390e+05,1.769974333690033973e+03,5.150200367607648484e+06,2.064302848661904136e+03,4.870794214630477363e+05,6.240096400000000321e-01,1.000000000000000021e-03,1.000000000000000021e-08,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
3.898970004336018746e+01,2.200000000000000000e+02,2.914042154442643747e+06,1.828053469996718033e-03,5.802138820237961840e-03,7.747961330847018398e+06,7.633721298924066359e+05,1.552087062822886801e+05,1.769974333690033973e+03,3.234139194370710291e+06,1.395485070948599514e+03,3.020955907483832561e+05,6.240096400000000321e-01,1.000000000000000021e-03,1.000000000000000021e-08,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
2.698970004336018746e+01,2.200000000000000000e+02,4.525269159731442481e+07,3.517703472035921698e-03,5.873827523259224880e-03,1.226674574047095925e+08,1.208587836579745449e+07,4.168133984780669212e+06,1.769974333690033973e+03,5.212914024042710662e+07,2.826493255874225360e+04,5.075759983070927672e+06,6.240096400000000321e-01,3.000000000000000062e-03,1.000000000000000021e-08,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
2.898970004336018746e+01,2.200000000000000000e+02,2.839319569047504291e+07,3.529804568913659339e-03,6.295666671817591251e-03,7.741311708258435130e+07,7.627169721881191246e+06,2.642889470489736646e+06,1.769974333690033973e+03,3.284374902559352666e+07,1.879861837918767560e+04,3.187672255205034278e+06,6.240096400000000321e-01,3.000000000000000062e-03,1.000000000000000021e-08,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
3.098970004336018746e+01,2.200000000000000000e+02,1.778095707807438076e+07,3.548982306915594073e-03,6.880330184419992771e-03,4.885155688099491596e+07,4.813126373815851286e+06,1.679278219248036388e+06,1.769974333690033973e+03,2.068570508306807652e+07,1.270707770894691203e+04,1.999339021267759148e+06,6.240096400000000321e-01,3.000000000000000062e-03,1.000000000000000021e-08,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
3.298970004336018746e+01,2.200000000000000000e+02,1.110470200780094601e+07,3.579373938756450890e-03,7.705508448556296075e-03,3.082724417615100741e+07,3.037271101466513705e+06,1.070388357581273653e+06,1.769974333690033973e+03,1.302217495872196741e+07,8.770993415021190231e+03,1.251866775887118885e+06,6.240096400000000321e-01,3.000000000000000062e-03,1.000000000000000021e-08,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
3.498970004336018746e+01,2.200000000000000000e+02,6.907635144960156642e+06,3.627533807914156208e-03,8.893719750771432453e-03,1.945340287844456360e+07,1.916657163717395393e+06,6.855419931659656577e+05,1.769974333690033973e+03,8.192736874638997950e+06,6.215919483863346613e+03,7.820650645781948697e+05,6.240096400000000321e-01,3.000000000000000062e-03,1.000000000000000021e-08,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
3.698970004336018746e+01,2.200000000000000000e+02,4.276745267097060569e+06,3.703842918765879941e-03,1.049070872931308004e-02,1.227648899146553874e+07,1.209547795715601882e+06,4.422025723861104925e+05,1.769974333690033973e+03,5.150200367607648484e+06,4.479975038070111623e+03,4.870794214630477363e+05,6.240096400000000321e-01,3.000000000000000062e-03,1.000000000000000021e-08,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
3.898970004336018746e+01,2.200000000000000000e+02,2.657456953888854943e+06,3.824736660434417679e-03,1.135576881518667383e-02,7.747961330847018398e+06,7.633721298924066359e+05,2.882463510174602852e+05,1.769974333690033973e+03,3.234139194370710291e+06,2.919697370753391624e+03,3.020955907483832561e+05,6.240096400000000321e-01,3.000000000000000062e-03,1.000000000000000021e-08,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
2.698970004336018746e+01,2.200000000000000000e+02,4.226192671507348865e+07,5.515622208527135202e-03,8.783836875587982054e-03,1.226674574047095925e+08,1.208587836579745449e+07,6.083193245793669485e+06,1.769974333690033973e+03,5.212914024042710662e+07,4.269381123789271805e+04,5.075759983070927672e+06,6.240096400000000321e-01,5.000000000000000104e-03,1.000000000000000021e-08,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
2.898970004336018746e+01,2.200000000000000000e+02,2.649747523900267482e+07,5.527674608837022246e-03,9.283408063266314000e-03,7.741311708258435130e+07,7.627169721881191246e+06,3.851522388965687249e+06,1.769974333690033973e+03,3.284374902559352666e+07,2.805162527566855351e+04,3.187672255205034278e+06,6.240096400000000321e-01,5.000000000000000104e-03,1.000000000000000021e-08,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
3.098970004336018746e+01,2.200000000000000000e+02,1.657869096998621151e+07,5.546775172841449802e-03,9.966114669552553901e-03,4.885155688099491596e+07,4.813126373815851286e+06,2.441913065328953788e+06,1.769974333690033973e+03,2.068570508306807652e+07,1.866258922413700930e+04,1.999339021267759148e+06,6.240096400000000321e-01,5.000000000000000104e-03,1.000000000000000021e-08,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
3.298970004336018746e+01,2.200000000000000000e+02,1.034193361609317921e+07,5.577044504350604434e-03,1.091481979642797487e-02,3.082724417615100741e+07,3.037271101466513705e+06,1.551448397649564315e+06,1.769974333690033973e+03,1.302217495872196741e+07,1.262051545833430282e+04,1.251866775887118885e+06,6.240096400000000321e-01,5.000000000000000104e-03,1.000000000000000021e-08,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
3.498970004336018746e+01,2.200000000000000000e+02,6.423697154028742574e+06,5.625010571214169447e-03,1.225824118755661739e-02,1.945340287844456360e+07,1.916657163717395393e+06,9.888253280969870975e+05,1.769974333690033973e+03,8.192736874638997950e+06,8.716182215990997065e+03,7.820650645781948697e+05,6.240096400000000321e-01,5.000000000000000104e-03,1.000000000000000021e-08,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
3.698970004336018746e+01,2.200000000000000000e+02,3.964790854522556067e+06,5.701012603142864739e-03,1.420122161606135816e-02,1.227648899146553874e+07,1.209547795715601882e+06,6.332418575781042455e+05,1.769974333690033973e+03,5.150200367607648484e+06,6.181591574501783725e+03,4.870794214630477363e+05,6.240096400000000321e-01,5.000000000000000104e-03,1.000000000000000021e-08,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
3.898970004336018746e+01,2.200000000000000000e+02,2.429582142535313033e+06,5.821419850872117108e-03,1.678019229917084368e-02,7.747961330847018398e+06,7.633721298924066359e+05,4.084043848435664549e+05,1.769974333690033973e+03,3.234139194370710291e+06,4.443909670558184189e+03,3.020955907483832561e+05,6.240096400000000321e-01,5.000000000000000104e-03,1.000000000000000021e-08,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
2.698970004336018746e+01,2.200000000000000000e+02,4.829761766771653295e+07,1.706760443951509110e-03,3.170160007743161139e-03,1.227134640156087875e+08,1.209041119231162779e+07,2.250779134764754213e+06,2.546001291183672583e+04,5.213319895712194592e+07,1.494866474154255957e+04,5.074287964572215453e+06,6.240096400000000321e-01,1.000000000000000021e-03,9.999999999999999547e-08,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
2.898970004336018746e+01,2.200000000000000000e+02,3.020982806273905560e+07,1.828140656580888633e-03,3.682699031288260393e-03,7.745913183926527202e+07,7.631703350962964818e+06,1.510910483828552533e+06,2.546001291183672583e+04,3.284776624317461997e+07,1.076457390087824206e+04,3.186186460999375209e+06,6.240096400000000321e-01,1.000000000000000021e-03,9.999999999999999547e-08,1.000000000000000021e-03,1.000000000000000000e+00,1.000000000000000000e+09,1.000000000000000078e-15,1.000000000000000062e-09,7.610999999999999988e-01,7.500999999999999890e-01,1.748999999999999999e-01,7.500000000000001110e-02,7.921000000000000263e-01,1.706999999999999906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002676141478940508e+01,8.995437383553924349e+01,0.000000000000000000e+00
